STD,n_Plots,MerchTC,MerchSE,MerchBA_ac,MerchTPA,MerchVol_ac,TotalValue,QMD,PP_regenTPA,DF_regenTPA,WJ_regenTPA,Total_regenTPA,%Grass,%Forb,%Shrub,Snags_ac,AveSnagDecay,AveSnagDBH,AveSnagHT,AveRegenCrownRatio,AveMerchCrownRatio,AveButtDefect,AveMidDefect,AveTopDefect,StandAge,PPSiteIndex,DFSiteIndex,RadGrowth,BAF,PP_BA,PP_TPA,DF_BA,DF_TPA,WJ_BA,WJ_TPA,Total_BA,Total_TPA
1,30,3.7,0.08,66,56.6,NA,NA,16.2,56.7,3,10,70,7.5,7,6.3,1,2,11.8,24.8,60.3,51.9,1.6,4.9,2,73,7,NaN,NA,20,NA,NA,NA,NA,NA,NA,68.7,58.4
3,8,4.6,0.12,46.2,40.7,NA,NA,15.1,0,0,37.5,37.5,9.5,5,11.8,1.9,4.3,12.7,12.7,46.7,61.4,1,1.6,2.3,117,-0.4,NaN,NA,10,NA,NA,NA,NA,NA,NA,52.5,52.1
4,25,3.7,0.14,52.8,35.8,NA,NA,17.2,32,0,36,68,8.9,2.6,2.8,2.8,2.8,11.6,20.6,100,57.1,1,0,1,125,0.8,NaN,NA,20,NA,NA,NA,NA,NA,NA,64.8,51.6
5,5,5.2,0.18,70.8,36.3,NA,NA,22,0,0,0,0,0,0,0,1,2,12,80,NaN,50.5,1,0,1,-Inf,NaN,NaN,NA,13.61,NA,NA,NA,NA,NA,NA,70.8,36.3
6,15,5.4,0.12,101.3,74.3,NA,NA,17.5,26.7,60,26.7,126.7,14,8.5,9.2,4,2.5,10.5,33.3,69.5,47.6,2.2,1.9,1.3,126,1.4,NaN,NA,20,NA,NA,NA,NA,NA,NA,102.7,76
6.1,9,2.4,0.13,42.2,23.8,NA,NA,22.1,77.8,11,11.1,133.3,10.1,9.6,3.2,0.6,1,25,100,70,70,1.6,0,2,-Inf,NaN,NaN,NA,20,NA,NA,NA,NA,NA,NA,42.2,23.8
7,26,6.1,0.12,58.8,41.9,NA,NA,18,19.2,15,53.8,88.5,12.7,11.9,10,0.2,2,9,36,73.3,57.5,1.3,0.5,1.1,129,5.9,NaN,NA,10,NA,NA,NA,NA,NA,NA,60.8,45.1
7.1,10,2.4,0.17,19,13.3,NA,NA,12.7,110,20,100,230,13.5,14.1,10.3,1,5,22,8,90,62.9,1,0,1,-Inf,NaN,NaN,NA,10,NA,NA,NA,NA,NA,NA,27,29.5
9,5,5.4,0.29,108,70.4,NA,NA,19.4,40,0,0,40,15.2,11.4,5,5,2.4,17,63,70,57.3,1,0,1,121,NaN,70.4,NA,20,NA,NA,NA,NA,NA,NA,112,78.2
10,20,3.4,0.11,44.2,44.6,NA,NA,14.3,30,30,40,100,11.7,8.1,9.2,3.5,2.4,10.3,24.6,52.3,62.7,2.1,11.3,2.6,148,1.8,61.3,NA,13.61,NA,NA,NA,NA,NA,NA,50.4,52.4
11,22,4.9,0.1,80,116.9,NA,NA,11.5,81.8,64,18.2,163.6,8,8.6,4.4,3,3.1,12.5,31.3,50,48.4,1.2,0.2,1.1,102,NaN,51.2,NA,20,NA,NA,NA,NA,NA,NA,87.3,128.3
