STAND_ID,PLOT,BAF,FLAG,C/M ,TREE,SPECIES,DBH,TOTHT,CR,VEG_pct,REPROD_COUNT,SNAGS_CLASS,LOG1_GRADE,LOG1 _LN,LOG2_GRADE,LOG2 _LN,LOG3_GRADE,LOG3_LN,DEFECT_B,DEFECT_M,DEFECT_T,COMMENTS,AGE,
7.1,21,10,R,C,,DF,1,6,,,1,,,,,,,,,,,,,
7.1,21,10,R,C,,PP,1,3,,,1,,,,,,,,,,,,,
18,24,10,R,C,,PP,0.1,5,70,,1,,,,,,,,,,,,,
18,21,10,R,C,,DF,0.1,5,80,,1,,,,,,,,,,,,,
18,21,10,R,C,,PP,0.1,5,90,,1,,,,,,,,,,,,,
18,5,10,R,C,,DF,0.1,5,80,,1,,,,,,,,,,,,,
1,6,20,R,C,,WJ,1,8,20,,1,,,,,,,,,,100,,,
1,7,20,R,C,,PP,4,30,25,,1,,,,,,,,,,,,,
1,9,20,R,C,,PP,1,6,30,,1,,,,,,,,,,,,,
3,8,10,R,C,,WJ,3,20,30,,1,,,,,,,,,,,,,
3,6,10,R,C,,WJ,3,12,60,,1,,,,,,,,,,,,,
3,4,10,R,C,,WJ,4,19,50,,1,,,,,,,,,,,,,
10,3,13.61,R,C,,PP,1,7,40,,1,,,,,,,,,,,,,
10,5,13.61,R,C,,PP,3.5,,,,1,,,,,,,,,,100,DT,,
10,11,13.61,R,C,,DF,1,8,70,,1,,,,,,,,,,,,,
10,10,13.61,R,C,,DF,5.3,80,,,1,,,,,,,,33,,,,,
10,9,13.61,R,C,,WJ,1,7,80,,1,,,,,,,,,,,,,
10,7,13.61,R,C,,WJ,1,6,60,,1,,,,,,,,,,,,,
10,15,13.61,R,C,,PP,5.6,34,15,,1,,,,,,,,,,,,,
10,15,13.61,R,C,,DF,4.9,35,90,,1,,,,,,,,,,,,,
11,3,20,R,C,,PP,2,15,30,,1,,,,,,,,,,,,,
11,4,20,R,C,,DF,0.5,5,90,,1,,,,,,,,,,,,,
11,14,20,R,C,,PP,3,24,30,,1,,,,,,,,,,,,,
13,17,13.61,R,C,,WJ,3,9,70,,1,,,,,,,,,,,,,
15,4,17.78,R,C,,DF,2,12,60,,1,,,,,,,,,,,,,
15,3,17.78,R,C,,PP,3.5,40,10,,1,,,,,,,,,,,,,
15,3,17.78,R,C,,DF,1,6,10,,1,,,,,,,,,,,,,
16,1,10,R,C,,WJ,0.1,4,90,,1,,,,,,,,10,,,,,
16,2,10,R,C,,WJ,0.1,4,90,,1,,,,,,,,,,,,,
16,3,10,R,C,,DF,1,6,50,,1,,,,,,,,,,,,,
16,6,10,R,C,,DF,0.1,4,70,,1,,,,,,,,,,,,,
16,6,10,R,C,,WJ,0.2,5,70,,1,,,,,,,,,,,,,
16,6,10,R,C,,PP,3,17,10,,1,,,,,,,,,,,,,
16,5,10,R,C,,DF,7.2,36,80,,1,,,,,,,,,,,,,
16,8,10,R,C,,PP,7.9,27,30,,1,,,,,,,,,,,,,
16,9,10,R,C,,DF,2,14,70,,1,,,,,,,,,,,,,
16,9,10,R,C,,PP,4.5,21,70,,1,,,,,,,,,,,,,
16,10,10,R,C,,DF,0.1,4,30,,1,,,,,,,,,,,,,
16,10,10,R,C,,WJ,0.5,6,60,,1,,,,,,,,,,,,,
16,16,10,R,C,,DF,0.5,5,50,,1,,,,,,,,,,,,,
16,17,10,R,C,,PP,2,15,30,,1,,,,,,,,,,,,,
16,19,10,R,C,,WJ,0.5,5,70,,1,,,,,,,,,,,,,
16,28,10,R,C,,WJ,0.3,5,70,,1,,,,,,,,,,,,,
16,29,10,R,C,1,PP,4.9,20,50,,1,,,,,,,,,,,,,
16,30,10,R,C,,PP,0.5,5,70,,1,,,,,,,,,,,,,
16,30,10,R,C,,WJ,0.5,5,90,,1,,,,,,,,,,,,,
16.1,41,10,R,C,,WJ,4,19,50,,1,,,,,,,,,,,,,
16.1,47,10,R,C,,WJ,0.1,5,60,,1,,,,,,,,,,,,,
16.1,34,10,R,C,,DF,2,15,90,,1,,,,,,,,,,,,,
16.1,38,10,R,C,,DF,0.1,5,30,,1,,,,,,,,,,,,,
16.1,46,10,R,C,,PP,3,13,90,,1,,,,,,,,,,,,,
19,2,10,R,C,,WJ,2,12,40,,1,,,,,,,,,,,,,
19,2,10,R,C,,WJ,0.1,5,90,,1,,,,,,,,,,,,,
19,3,10,R,C,,PP,0.1,5,70,,1,,,,,,,,,,,,,
19,3,10,R,C,,DF,0.1,5,80,,1,,,,,,,,,,,,,
19,12,10,R,C,,WJ,0.1,5,80,,1,,,,,,,,,,,,,
19,9,10,R,C,,DF,0.1,5,80,,1,,,,,,,,,,,,,
19,7,10,R,C,,PP,2,7,70,,1,,,,,,,,,,,,,
19,7,10,R,C,,PP,0.1,5,70,,1,,,,,,,,,,,,,
19,7,10,R,C,,DF,1.5,7,60,,1,,,,,,,,,,,,,
19,6,10,R,C,,DF,3,15,30,,1,,,,,,,,,,,,,
19,6,10,R,C,,PP,0.1,5,80,,1,,,,,,,,,,,,,
19,5,10,R,C,,PP,1,10,60,,1,,,,,,,,,,,,,
19,19,10,R,C,,WJ,0.1,5,70,,1,,,,,,,,,,,,,
19,19,10,R,C,,DF,7,34,80,,1,,,,,,,,,,,,,
19,20,10,R,C,,DF,0.1,5,70,,1,,,,,,,,,,,,,
19,20,10,R,C,,WJ,0.2,6,90,,1,,,,,,,,,,,,,
19,35,10,R,C,,PP,3.7,12,70,,1,,,,,,,,,10,99,,,
28,6,10,R,C,,DF,1,7,90,,1,,,,,,,,,,,,,
30,6,20,R,C,,DF,1,7,20,,1,,,,,,,,,,,,,
30,6,20,R,C,,DF,3,12,30,,1,,,,,,,,,,,,,
30,4,20,R,C,,DF,0.1,5,70,,1,,,,,,,,,,,,,
29,3,10,R,C,,WJ,0.2,5,90,,1,,,,,,,,,,,,,
1,14,20,R,C,,DF,2,10,100,,1,,,,,,,,,,,,,
6,7,20,R,C,,DF,1,5,60,,1,,,,,,,,,,,,,
6.1,4,20,R,C,,PP,0,3,80,,1,,,,,,,,,,,,,
6.1,14,20,R,C,,DF,1,5,100,,1,,,,,,,,,,,,,
6.1,14,20,R,C,,PP,0,1,100,,1,,,,,,,,,,,,,
14,16,13.61,R,C,,PP,0,1,90,,1,,,,,,,,,,,,,
15,11,17.78,R,C,,DF,1,10,5,,1,,,,,,,,,,,,,
15,10,17.78,R,C,,DF,3,60,,,1,,,,,,,,,,,,,
23,20,17.78,R,C,,DF,3,14,80,,1,,,,,,,,,,,,,
23,20,17.78,R,C,,DF,1,5,90,,1,,,,,,,,,,,,,
23,21,17.78,R,C,,DF,2,13,40,,1,,,,,,,,,,,,,
19,27,10,R,C,,PP,0,2,70,,1,,,,,,,,,,,,,
19,29,10,R,C,,WJ,2,10,80,,1,,,,,,,,,,,,,
19,30,10,T,C,7,PP,1,5,80,,1,,,,,,,,,,,,,
